CUSTOMER_ID,FIRST_NAME,LAST_NAME,CITY,COUNTRY,POSTAL_CODE,PREFERRED_LANGUAGE,GENDER,FAVOURITE_BRAND,MARITAL_STATUS,CHILDREN_COUNT,SIGN_UP_DATE,BIRTHDAY_DATE,E_MAIL,PHONE_NUMBER
66,Cannon,Waters,Toronto,Canada,M4C 3M7,English,Male,,Married,4,2019-10-08,1982-11-24,Cannon.Waters@hotmail.com,424-543-8925
118,Donald,Faulkner,San Mateo,United States,94010,English,Male,,Single,0,2019-07-07,1988-06-13,Donald.Faulkner@hotmail.com,080-861-2392
131,Tate,Tucker,Toronto,Canada,M4C 1E7,English,Male,,Single,0,2021-05-27,1984-12-29,Tate.Tucker@hotmail.com,896-393-1708
132,Aileen,Knapp,Toronto,Canada,M4C 3J6,English,Male,,Single,0,2020-11-10,1981-04-30,Aileen.Knapp@hotmail.com,477-406-2898
171,Grayson,Hayes,Toronto,Canada,M4C 1E7,English,Male,,Single,0,2021-05-08,1987-08-06,Grayson.Hayes@hotmail.com,849-485-3285
189,Reese,Mcfarland,San Mateo,United States,94010,English,Undisclosed,,Married,1,2020-03-06,1984-03-05,Reese.Mcfarland@hotmail.com,802-202-7275
195,Summer,Chung,Toronto,Canada,M4C 1X6,English,Female,,Single,0,2021-05-13,1987-08-17,Summer.Chung@hotmail.com,761-641-8122
204,Emilio,Lawrence,San Mateo,United States,94497,English,Male,,Undisclosed,Undisclosed,2021-10-10,1979-06-25,Emilio.Lawrence@hotmail.com,693-524-2569
42,Alexander,Hicks,San Mateo,United States,94404,English,Undisclosed,,Single,0,2020-07-11,1966-06-28,Alexander.Hicks@aol.com,463-144-8555
59,Ryan,Shah,San Mateo,United States,94401,English,Male,,Married,2,2020-12-29,1961-06-05,Ryan.Shah@aol.com,679-586-9815
65,Nathen,Werner,San Mateo,United States,94010,English,Male,,Divorced/Seperated,5+,2020-11-05,1958-09-01,Nathen.Werner@aol.com,926-969-1551
106,Camilla,Harding,San Mateo,United States,94404,English,Female,,Single,0,2021-06-28,1967-05-10,Camilla.Harding@aol.com,366-365-2520
138,Kole,Stevenson,Toronto,Canada,M4C 3B7,English,Female,,Single,0,2019-03-24,1966-01-25,Kole.Stevenson@aol.com,454-997-4118
219,Scarlett,Zavala,San Mateo,United States,94403,English,Undisclosed,,Married,2,2021-01-22,1965-12-19,Scarlett.Zavala@aol.com,447-385-8243
222,Olive,Powell,San Mateo,United States,94404,English,Female,,Single,0,2021-03-21,1965-07-06,Olive.Powell@aol.com,983-128-2475
22,Rayne,Sanchez,San Mateo,United States,94401,English,Male,,Married,4,2021-04-22,1949-01-12,Rayne.Sanchez@ymail.com,621-054-0251
114,Jadiel,Phillips,Toronto,Canada,M4C 3J6,English,Female,,Single,0,2020-07-19,1953-05-06,Jadiel.Phillips@ymail.com,635-200-5644
120,Chaim,Vaughn,Toronto,Canada,M4C 3M7,English,Male,,Divorced/Seperated,1,2019-07-09,1946-09-23,Chaim.Vaughn@ymail.com,254-799-3470
166,Maia,Montes,San Mateo,United States,94404,English,Male,,Single,0,2021-01-30,1944-01-25,Maia.Montes@ymail.com,204-126-9474
176,Daisy,Drake,San Mateo,United States,94404,English,Male,,Married,1,2020-06-22,1955-05-28,Daisy.Drake@ymail.com,013-094-6686
236,Paul,Bond,Toronto,Canada,M4C 1E7,English,Male,,Single,0,2019-05-21,1954-09-26,Paul.Bond@ymail.com,132-732-2895
249,Amanda,Randall,Toronto,Canada,M4C 3M7,English,Undisclosed,,Married,2,2022-05-19,1953-12-12,Amanda.Randall@ymail.com,057-221-6238
64,Braeden,Contreras,Toronto,Canada,M4C 0A2,English,Male,,Married,0,2019-07-23,1990-08-02,Braeden.Contreras@gmail.com,942-867-9729
212,Mike,Simon,San Mateo,United States,94401,English,Female,,Married,1,2019-04-03,1991-03-24,Mike.Simon@gmail.com,342-965-7762
217,Reagan,Peck,San Mateo,United States,94497,English,Female,,Married,4,2021-08-22,1999-02-13,Reagan.Peck@gmail.com,264-959-9463
224,Jordan,Daniels,San Mateo,United States,94404,English,Male,,Married,1,2021-12-23,1990-01-18,Jordan.Daniels@gmail.com,402-997-1570
226,Ramon,Ramos,San Mateo,United States,94010,English,Undisclosed,,Single,0,2020-11-04,1999-11-21,Ramon.Ramos@gmail.com,886-410-5242
233,Enzo,Vance,San Mateo,United States,94402,English,Undisclosed,,Married,4,2019-05-10,2003-11-30,Enzo.Vance@gmail.com,536-688-9631
5,Zaiden,Knapp,Barcelona,Spain,08013,English,Female,,Married,1,2022-06-17,1978-10-29,Zaiden.Knapp@hotmail.com,545-152-4832
13,Kylan,Collins,Barcelona,Spain,08013,English,Male,,Married,1,2022-06-10,1976-01-19,Kylan.Collins@hotmail.com,245-548-8507
49,Walter,Turner,Barcelona,Spain,08013,English,Female,,Single,0,2019-10-04,1976-05-13,Walter.Turner@hotmail.com,717-389-5808
51,Bruce,Hess,Barcelona,Spain,08013,English,Female,,Undisclosed,Undisclosed,2019-12-22,1980-08-27,Bruce.Hess@hotmail.com,746-230-9315
92,Davon,Wilkerson,Barcelona,Spain,08013,English,Female,,Married,1,2019-09-25,1973-06-28,Davon.Wilkerson@hotmail.com,670-782-3955
203,Jairo,Shields,Barcelona,Spain,08013,English,Male,,Divorced/Seperated,3,2020-01-17,1981-01-23,Jairo.Shields@hotmail.com,218-636-6812
247,Aidyn,Rivers,Barcelona,Spain,08013,English,Female,,Undisclosed,Undisclosed,2019-10-17,1979-07-08,Aidyn.Rivers@hotmail.com,160-407-4548
7,Ricardo,Byrd,Barcelona,Spain,08013,English,Male,,Undisclosed,Undisclosed,2020-09-29,1961-12-23,Ricardo.Byrd@aol.com,138-082-1391
43,Krish,Schultz,Barcelona,Spain,08013,English,Male,,Single,0,2020-12-22,1959-04-13,Krish.Schultz@aol.com,591-523-5302
94,Brielle,Donovan,Barcelona,Spain,08013,English,Female,,Single,0,2020-06-28,1959-12-15,Brielle.Donovan@aol.com,883-204-1428
225,Harold,King,Barcelona,Spain,08013,English,Female,,Married,3,2021-08-10,1960-03-09,Harold.King@aol.com,668-035-7038
77,Holden,Lopez,Barcelona,Spain,08013,English,Male,,Divorced/Seperated,0,2019-06-28,1948-01-01,Holden.Lopez@ymail.com,749-297-1934
87,Catalina,Garrett,Barcelona,Spain,08013,English,Male,,Single,0,2021-01-28,1941-02-23,Catalina.Garrett@ymail.com,031-067-3092
90,Kelly,Richardson,Barcelona,Spain,08013,English,Female,,Married,1,2019-12-27,1952-04-30,Kelly.Richardson@ymail.com,316-602-1653
29,Ayana,Sanders,Barcelona,Spain,08013,English,Male,,Undisclosed,Undisclosed,2021-05-20,1996-11-14,Ayana.Sanders@gmail.com,171-546-3999
50,Shania,White,Barcelona,Spain,08013,English,Undisclosed,,Married,4,2019-08-22,1998-02-17,Shania.White@gmail.com,637-960-2493
215,Daniella,Hatfield,Barcelona,Spain,08013,English,Female,,Single,0,2020-12-18,1992-11-17,Daniella.Hatfield@gmail.com,210-683-5639
37,Bentley,Leonard,Munich,Germany,80809,German,Female,,Single,0,2021-10-07,1985-07-31,Bentley.Leonard@hotmail.com,472-715-6820
44,Anabel,French,Munich,Germany,80809,German,Male,,Married,2,2021-09-22,1973-03-28,Anabel.French@hotmail.com,291-329-5452
38,Haley,Barrera,Munich,Germany,80809,German,Female,,Single,0,2020-07-12,1958-06-05,Haley.Barrera@aol.com,383-611-7780
63,Luke,Estes,Munich,Germany,80809,German,Male,,Single,0,2019-12-08,1967-02-23,Luke.Estes@aol.com,790-891-5725
178,Samantha,Solis,Munich,Germany,80809,German,Female,,Single,0,2019-06-16,1965-03-05,Samantha.Solis@aol.com,756-582-4844
245,Jordan,Odom,Munich,Germany,80809,German,Male,,Single,0,2021-11-16,1962-06-17,Jordan.Odom@aol.com,602-636-3555
32,Cecilia,Rogers,Munich,Germany,80809,German,Male,,Married,1,2021-07-20,1951-09-16,Cecilia.Rogers@ymail.com,462-128-2371
142,Mitchell,Kelly,Munich,Germany,80809,German,Female,,Single,0,2020-11-26,1944-09-20,Mitchell.Kelly@ymail.com,033-154-6463
26,Holden,Rollins,Munich,Germany,80809,German,Female,,Undisclosed,Undisclosed,2020-05-14,2005-05-31,Holden.Rollins@gmail.com,470-940-7989
104,Alfred,Huff,Munich,Germany,80809,German,Male,,Single,0,2019-05-03,2004-06-21,Alfred.Huff@gmail.com,846-458-1893
156,Nataly,Campbell,Munich,Germany,80809,German,Male,,Divorced/Seperated,0,2020-01-15,1991-04-01,Nataly.Campbell@gmail.com,170-742-6214
164,Damien,Chaney,Munich,Germany,80809,German,Male,,Married,4,2022-04-25,1993-03-04,Damien.Chaney@gmail.com,250-291-3484
202,Raul,Palmer,Munich,Germany,80809,German,Male,,Married,3,2021-08-25,1995-09-16,Raul.Palmer@gmail.com,483-653-7104
214,Malachi,Christian,Munich,Germany,80809,German,Female,,Married,1,2019-06-04,2004-01-17,Malachi.Christian@gmail.com,321-257-9503
251,Shea,Small,Munich,Germany,80809,German,Male,,Married,0,2020-06-14,1990-12-27,Shea.Small@gmail.com,618-400-5619
254,Allen,Duarte,Munich,Germany,80809,German,Female,,Married,1,2019-09-27,2000-02-18,Allen.Duarte@gmail.com,245-842-0886
255,Eduardo,Alexander,Munich,Germany,80809,German,Male,,Married,2,2022-06-14,1992-08-13,Eduardo.Alexander@gmail.com,457-261-0338
172,Areli,Carson,Stockholm,Sweden,600,Polish,Undisclosed,,Single,0,2022-03-30,1942-10-01,Areli.Carson@ymail.com,418-907-1546
9,Josie,Glass,Stockholm,Sweden,6206,Swedish,Male,,Single,0,2020-10-30,1970-09-11,Josie.Glass@hotmail.com,023-863-4028
89,Dawson,Preston,Stockholm,Sweden,6206,Swedish,Female,,Married,4,2020-09-07,1973-02-11,Dawson.Preston@hotmail.com,281-178-6981
99,Mareli,Cervantes,Stockholm,Sweden,6300,Swedish,Male,,Single,0,2020-10-01,1957-07-10,Mareli.Cervantes@aol.com,016-347-5466
244,Noe,Dominguez,Stockholm,Sweden,6200,Swedish,Male,,Undisclosed,Undisclosed,2021-06-20,1963-11-04,Noe.Dominguez@aol.com,658-722-8215
241,Roman,Hall,Stockholm,Sweden,6200,Swedish,Male,,Single,0,2019-01-07,1954-04-22,Roman.Hall@ymail.com,294-440-4109
188,India,Barrett,Stockholm,Sweden,6100,Swedish,Male,,Married,0,2020-05-11,2004-10-11,India.Barrett@gmail.com,359-914-9352
153,Jadyn,Sosa,Cairo,Egypt,00000,Arabic,Male,,Single,1,2020-08-03,1979-05-27,Jadyn.Sosa@hotmail.com,185-374-9675
165,Karlee,Gregory,Cairo,Egypt,00000,Arabic,Male,,Single,0,2020-01-08,1988-05-28,Karlee.Gregory@hotmail.com,659-235-3392
168,Ross,Roth,Cairo,Egypt,00000,Arabic,Male,,Single,0,2021-11-30,1983-01-12,Ross.Roth@hotmail.com,258-732-2386
180,Kylie,Vincent,Cairo,Egypt,00000,Arabic,Female,,Single,0,2020-05-11,1983-06-06,Kylie.Vincent@hotmail.com,312-571-2444
232,Skyler,Rose,Cairo,Egypt,00000,Arabic,Male,,Undisclosed,Undisclosed,2019-08-25,1977-12-01,Skyler.Rose@hotmail.com,938-770-0186
